Country_Name,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,AVG
Algeria,22.555,23.425,24.189,24.762,25.078,25.134,24.945,24.522,23.9,23.132,22.292,23.994
Angola,46.947,46.459,45.91,45.314,44.688,44.058,43.446,42.864,42.321,41.819,41.347,44.10663636
Benin,40.167,39.884,39.59,39.278,38.945,38.591,38.218,37.83,37.431,37.026,36.622,38.50745455
Botswana,25.38,25.331,25.311,25.286,25.217,25.079,24.856,24.541,24.14,23.669,23.162,24.72472727
Burkina Faso,43.946,43.438,42.89,42.314,41.721,41.127,40.543,39.977,39.436,38.92,38.42,41.15745455
Burundi,43.302,43.549,43.699,43.736,43.663,43.506,43.285,43.005,42.662,42.248,41.763,43.12890909
Cameroon,40.29,40.013,39.686,39.307,38.876,38.403,37.899,37.374,36.837,36.3,35.768,38.25027273
Cape Verde,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,38.749,38.5,38.248,37.981,37.683,37.343,36.959,36.542,36.113,35.7,35.328,37.19509091
Chad,48.344,47.81,47.252,46.68,46.104,45.53,44.963,44.407,43.864,43.331,42.803,45.55345455
Comoros,35.904,35.691,35.464,35.209,34.916,34.581,34.204,33.786,33.334,32.856,32.365,34.39181818
"Congo, Dem. Rep.",45.47,45.307,45.105,44.856,44.549,44.187,43.772,43.31,42.809,42.28,41.734,43.94354545
"Congo, Rep.",38.964,38.714,38.402,38.022,37.567,37.043,36.466,35.856,35.234,34.629,34.059,36.81418182
Djibouti,26.792,26.191,25.659,25.193,24.784,24.409,24.05,23.699,23.35,23.002,22.66,24.52627273
"Egypt, Arab Rep.",25.452,25.91,26.489,27.093,27.6,27.907,27.949,27.707,27.202,26.494,25.691,26.86309091
Equatorial Guinea,38.896,38.438,37.944,37.418,36.868,36.305,35.739,35.179,34.635,34.114,33.616,36.28654545
Eritrea,36.699,36.57,36.298,35.889,35.362,34.759,34.12,33.469,32.826,32.2,31.59,34.52563636
Ethiopia,36.93,36.137,35.439,34.831,34.293,33.792,33.301,32.806,32.299,31.779,31.255,33.89654545
Gabon,32.11,32.051,31.977,31.859,31.67,31.4,31.044,30.605,30.089,29.512,28.901,31.01981818
"Gambia, The",43.17,42.82,42.471,42.116,41.747,41.352,40.927,40.471,39.987,39.482,38.965,41.228
Ghana,33.799,33.661,33.513,33.333,33.1,32.806,32.448,32.029,31.557,31.047,30.52,32.52845455
Guinea,39.89,39.459,39.025,38.588,38.146,37.701,37.254,36.805,36.357,35.911,35.468,37.69127273
Guinea-Bissau,39.902,39.717,39.507,39.254,38.946,38.579,38.154,37.675,37.146,36.579,35.988,38.31336364
Ivory Coast,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,37.167,36.537,35.836,35.091,34.336,33.606,32.929,32.32,31.782,31.309,30.876,33.799
Lesotho,28.586,28.51,28.501,28.528,28.557,28.555,28.498,28.368,28.158,27.872,27.532,28.33318182
Liberia,38.971,38.352,37.747,37.167,36.619,36.101,35.611,35.152,34.721,34.318,33.936,36.245
Libya,21.218,21.316,21.4,21.434,21.385,21.237,20.985,20.631,20.186,19.672,19.125,20.78081818
Madagascar,36.768,36.221,35.697,35.204,34.754,34.35,33.993,33.679,33.4,33.145,32.9,34.55554545
Malawi,42.388,41.816,41.113,40.321,39.503,38.73,38.054,37.495,37.053,36.704,36.399,39.05236364
Mali,47.825,47.408,46.915,46.359,45.751,45.115,44.47,43.834,43.219,42.634,42.076,45.05509091
Mauritania,36.827,36.622,36.414,36.191,35.94,35.654,35.33,34.969,34.574,34.155,33.726,35.49109091
Mauritius,13.7,13.2,12.3,12,11.7,11.5,10.9,10.6,10.1,10.4,10.7,11.55454545
Morocco,21.187,21.203,21.249,21.289,21.283,21.203,21.03,20.759,20.397,19.965,19.5,20.82409091
Mozambique,42.768,42.347,41.92,41.491,41.062,40.633,40.204,39.778,39.36,38.953,38.557,40.643
Namibia,29.636,29.716,29.857,30.011,30.127,30.162,30.09,29.897,29.587,29.181,28.723,29.72609091
Niger,51.091,50.73,50.377,50.034,49.701,49.377,49.058,48.745,48.438,48.136,47.838,49.41136364
Nigeria,42.111,41.875,41.622,41.344,41.03,40.674,40.275,39.838,39.372,38.887,38.4,40.49345455
Rwanda,36.957,36.482,35.935,35.314,34.633,33.919,33.199,32.485,31.786,31.105,30.441,33.84145455
Sao Tome and Principe,37.889,37.49,37.085,36.671,36.241,35.789,35.314,34.823,34.326,33.834,33.361,35.71118182
Senegal,38.526,38.475,38.39,38.243,38.009,37.683,37.269,36.772,36.208,35.599,34.973,37.28609091
Seychelles,17.6,17.8,18.1,16.8,18.6,18.6,17.4,17,17,17.4,17.2,17.59090909
Sierra Leone,42.106,41.309,40.452,39.563,38.675,37.818,37.014,36.277,35.611,35.006,34.44,38.02463636
Somalia,46.212,45.922,45.609,45.277,44.934,44.596,44.271,43.961,43.661,43.362,43.055,44.62363636
South Africa,22.995,22.836,22.678,22.51,22.322,22.108,21.865,21.594,21.297,20.981,20.655,21.98554545
South Sudan,39.578,39.169,38.755,38.336,37.915,37.5,37.095,36.7,36.315,35.936,35.56,37.53263636
Sudan,36.831,36.378,35.923,35.47,35.022,34.58,34.146,33.723,33.315,32.926,32.555,34.62445455
Swaziland,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania,42.092,41.852,41.522,41.112,40.639,40.133,39.621,39.12,38.64,38.186,37.752,40.06081818
Togo,38.545,38.141,37.69,37.201,36.682,36.144,35.598,35.057,34.532,34.028,33.545,36.10572727
Tunisia,16.997,17.381,17.816,18.243,18.599,18.839,18.933,18.868,18.647,18.295,17.865,18.22572727
Uganda,46.646,46.176,45.685,45.179,44.666,44.15,43.636,43.129,42.631,42.144,41.663,44.155
Zambia,41.896,41.36,40.844,40.361,39.917,39.506,39.125,38.771,38.441,38.131,37.833,39.65318182
Zimbabwe,35.432,35.727,35.938,36.02,35.932,35.666,35.233,34.647,33.937,33.144,32.318,34.90854545
