Country_Name,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,AVG
Algeria,4.738,4.737,4.744,4.754,4.766,4.774,4.779,4.778,4.773,4.765,4.758,4.760545455
Angola,12.327,11.654,11.023,10.45,9.949,9.525,9.176,8.899,8.683,8.513,8.372,9.870090909
Benin,10.739,10.497,10.282,10.093,9.926,9.77,9.618,9.469,9.319,9.172,9.029,9.810363636
Botswana,11.437,10.659,9.951,9.33,8.792,8.304,7.843,7.413,7.022,6.684,6.406,8.531
Burkina Faso,12.225,11.672,11.141,10.645,10.194,9.787,9.423,9.101,8.818,8.568,8.341,9.992272727
Burundi,13.002,12.793,12.564,12.319,12.061,11.799,11.538,11.282,11.032,10.788,10.547,11.79318182
Cameroon,12.517,12.212,11.928,11.66,11.401,11.145,10.885,10.619,10.348,10.076,9.807,11.14527273
Cape Verde,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,18.062,17.576,17.077,16.572,16.062,15.546,15.025,14.508,14.008,13.538,13.104,15.55254545
Chad,16.405,16.012,15.581,15.131,14.683,14.256,13.866,13.519,13.217,12.953,12.712,14.39409091
Comoros,8.79,8.614,8.429,8.244,8.065,7.897,7.743,7.608,7.49,7.389,7.298,7.960636364
"Congo, Dem. Rep.",12.694,12.295,11.926,11.588,11.278,10.988,10.712,10.446,10.187,9.934,9.688,11.06690909
"Congo, Rep.",11.047,10.401,9.808,9.288,8.843,8.457,8.116,7.817,7.556,7.331,7.136,8.709090909
Djibouti,9.496,9.293,9.089,8.896,8.727,8.587,8.48,8.407,8.365,8.35,8.349,8.730818182
"Egypt, Arab Rep.",6.303,6.273,6.241,6.206,6.166,6.121,6.071,6.017,5.963,5.909,5.859,6.102636364
Equatorial Guinea,12.144,11.883,11.62,11.361,11.115,10.89,10.689,10.509,10.344,10.186,10.025,10.97872727
Eritrea,9.114,8.829,8.554,8.288,8.03,7.778,7.535,7.299,7.071,6.854,6.649,7.818272727
Ethiopia,9.872,9.323,8.825,8.388,8.015,7.698,7.426,7.195,6.997,6.825,6.67,7.930363636
Gabon,10.108,9.792,9.473,9.159,8.858,8.57,8.298,8.046,7.818,7.616,7.438,8.652363636
"Gambia, The",9.681,9.448,9.231,9.03,8.844,8.67,8.506,8.35,8.202,8.063,7.931,8.723272727
Ghana,9.695,9.503,9.32,9.148,8.983,8.819,8.652,8.483,8.314,8.146,7.985,8.822545455
Guinea,12.474,11.969,11.526,11.147,10.819,10.514,10.209,9.899,9.582,9.261,8.946,10.57690909
Guinea-Bissau,12.679,12.453,12.224,11.993,11.758,11.518,11.274,11.028,10.781,10.537,10.296,11.50372727
Ivory Coast,15.429,15.009,14.604,14.225,13.871,13.529,13.192,12.862,12.539,12.227,11.928,13.58318182
Kenya,9.046,8.393,7.794,7.273,6.843,6.494,6.213,5.998,5.841,5.732,5.658,6.844090909
Lesotho,15.843,15.308,14.812,14.383,14.026,13.713,13.425,13.16,12.919,12.702,12.506,13.89063636
Liberia,10.792,10.212,9.729,9.348,9.054,8.807,8.577,8.35,8.12,7.888,7.661,8.958
Libya,4.709,4.756,4.825,4.909,4.996,5.075,5.137,5.179,5.201,5.208,5.209,5.018545455
Madagascar,8.017,7.796,7.582,7.374,7.173,6.981,6.801,6.633,6.475,6.328,6.19,7.031818182
Malawi,12.189,11.366,10.574,9.844,9.199,8.643,8.174,7.794,7.498,7.276,7.104,9.060090909
Mali,13.912,13.384,12.908,12.481,12.093,11.727,11.37,11.017,10.667,10.32,9.985,11.80581818
Mauritania,8.932,8.796,8.658,8.521,8.39,8.267,8.154,8.051,7.96,7.88,7.806,8.310454545
Mauritius,6.9,7.2,7.4,7.3,7.3,7.4,7.5,7.7,7.7,8.1,8,7.5
Morocco,5.55,5.453,5.372,5.308,5.259,5.22,5.19,5.165,5.145,5.13,5.12,5.264727273
Mozambique,13.222,12.785,12.38,12.006,11.658,11.325,11.002,10.686,10.381,10.091,9.821,11.39609091
Namibia,11.488,11.029,10.48,9.881,9.276,8.704,8.196,7.776,7.455,7.23,7.074,8.962636364
Niger,13.396,12.836,12.296,11.786,11.32,10.903,10.536,10.218,9.942,9.7,9.478,11.12827273
Nigeria,15.422,15.021,14.648,14.306,13.987,13.681,13.376,13.071,12.766,12.462,12.164,13.71854545
Rwanda,9.761,8.932,8.225,7.654,7.211,6.86,6.572,6.332,6.132,5.966,5.835,7.225454545
Sao Tome and Principe,7.805,7.637,7.488,7.359,7.244,7.135,7.027,6.918,6.806,6.694,6.583,7.154181818
Senegal,8.387,8.014,7.656,7.321,7.015,6.738,6.488,6.266,6.071,5.899,5.745,6.872727273
Seychelles,7.4,7.6,7.8,7.4,7.9,7.4,8,7.9,7.5,7.9,7.8,7.690909091
Sierra Leone,17.667,16.896,16.152,15.45,14.811,14.247,13.765,13.361,13.028,12.751,12.509,14.60336364
Somalia,13.708,13.452,13.197,12.941,12.682,12.421,12.157,11.893,11.629,11.367,11.11,12.41427273
South Africa,14.319,14.029,13.575,12.997,12.346,11.684,11.066,10.529,10.102,9.793,9.58,11.82
South Sudan,13.74,13.417,13.089,12.76,12.434,12.116,11.811,11.52,11.244,10.982,10.731,12.16763636
Sudan,8.806,8.597,8.395,8.205,8.031,7.876,7.74,7.622,7.522,7.435,7.359,7.962545455
Swaziland,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania,9.825,9.394,8.998,8.633,8.29,7.959,7.635,7.318,7.015,6.737,6.494,8.027090909
Togo,11.269,10.909,10.535,10.165,9.818,9.504,9.232,9.007,8.827,8.686,8.569,9.683727273
Tunisia,6.01,6.091,6.169,6.239,6.295,6.335,6.357,6.364,6.357,6.341,6.323,6.261909091
Uganda,11.378,10.913,10.495,10.125,9.802,9.523,9.28,9.066,8.874,8.697,8.528,9.698272727
Zambia,12.248,11.508,10.8,10.144,9.56,9.054,8.626,8.276,7.998,7.78,7.604,9.418
Zimbabwe,14.604,13.713,12.774,11.838,10.954,10.148,9.441,8.856,8.402,8.078,7.852,10.60545455
