Country_Name,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,AVG
Algeria,1.121166275,1.376097605,1.066950058,2.131796279,2.291909076,9.700073787,7.849371553,4.914099665,4.591345901,3.423314131,4.22770283,3.881257015
Angola,1.259203159,0,14.59809078,17.15734964,11.65937989,3.978354902,7.763156733,5.73506127,1.513633301,0,0,5.787657243
Benin,20.44555454,14.82650307,16.67081525,19.63120292,16.697293,21.03903489,14.12577994,13.96679173,17.39155253,17.99398224,17.37714001,17.28778637
Botswana,15.57146632,16.85155876,13.24919235,14.6636176,16.39049989,16.20083053,17.25019297,15.50219868,11.67390083,12.9368547,14.71065051,15.00008756
Burkina Faso,21.90748258,23.87450171,23.5835973,21.98455543,23.64491887,25.87340914,26.13046338,31.34049876,25.82078711,19.97351224,24.9535621,24.46248078
Burundi,28.04216951,3.380210048,2.411667446,2.121087732,29.00294498,16.42390364,23.09703222,24.35478626,20.54626915,17.25338772,19.5672507,16.92733722
Cameroon,4.116798208,2.92305064,3.546189038,27.45403018,2.997073994,30.38219727,23.52158492,28.02920698,20.24876473,10.92450015,14.36522746,15.31896578
Cape Verde,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,0.855924816,1.347079828,0.628349936,1.034859644,0.841016068,1.53156477,0.719173789,0.427814063,0.431292238,0.305478393,0.76284266,0.807763291
Chad,0,0,0,0,0,0,0,0,0,0,0,0
Comoros,0.692628783,0.471491363,0.400228256,0.477632803,0.510516981,0.51864616,1.332703264,0,0,0,0,0.400349783
"Congo, Dem. Rep.",0,0,0,0,0,0,0,0,0,0,0,0
"Congo, Rep.",4.265588107,5.445987549,2.473413108,5.690093027,2.161683842,1.103110003,1.602353486,2.965164935,0,0,1.882787562,2.508198329
Djibouti,0,0,6.460103797,0,0,0,0,0,0,0,0,0.587282163
"Egypt, Arab Rep.",14.75898721,11.12338291,9.896054967,13.44305186,14.91097213,18.74134675,14.17850885,13.96207137,15.74872847,14.16575763,17.49678899,14.40233192
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,13.33337424,23.17416416,15.8594995,18.55279615,17.77276587,20.49285888,12.14829651,17.31479642,9.667010488,10.89580813,0,14.47376094
Gabon,4.926526982,4.776794784,7.336411829,0,0,0,0,0,0,0,0,1.54906669
"Gambia, The",16.89463489,19.91744137,15.61490328,20.53230531,22.2460175,27.02319026,23.59018951,21.27013088,18.80370654,17.36633974,29.75854957,21.1834008
