Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,4/24/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Afghanistan,AFG,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,0,0,0.004131188,0.044109809,0.15005695,0.426252411,0.540689666,0.538425706,0.255737088,0.381900496,0.486610274,0.162305249,,,,,,,,,,,,,,,,,,,,,0.121154036,0.019498588,0.01487613,0.015025422,0.015148986,0.013851337,0.01504493,0.010175209,0.030593267,0.052918447,0.053020361,0.039682551,0.005614713,0.004870482,0.002912009,0.003384739,
Angola,AGO,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,,,,,,,,,,0.042619981,0.020058932,0.006187396,0.027521007,0.024891203,0.021913504,0.028656305,0.018980402,0.018521304,0.015793783,0.017982718,0.037347741,0.037545385,0.068931508,0.076494621,0.070965,0.065669815,0.068028762,0.053444196,0.088483158,0.142253975,0.175010255,0.115007522,0.117904437,0.115080031,0.077933472,0.079794069,0.090758039,0.066892831,0.079454828,0.088739845,0.118732449,0.107675558,0.113130528,0.083006334,0.061828933,0.085410228,0.186106399,
Albania,ALB,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,0.448557683,0.393170731,0.428880368,0.283030308,0.452085241,0.442388584,0.278799798,0.236977381,0.203683095,0.037413102,0.019708288,0.015344083,0.014489295,0.014092562,0.007587849,0.003198377,0.022593145,0.017121414,0.026188953,0.011322978,0.015449941,0.014253281,0.024646921,0.007681205,0.028106454,0.025981788,0.005135861,0.00967672,0.018168508,0.018786568,0.020664463,0.013912512,0.01014501,0.020067006,
Andorra,AND,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,0.014533391,0.008848569,0.010613678,0.019094118,0.032384015,0.096680944,0.09641824,0.135578344,0.194946643,0.343720561,0.285044151,0.143440414,0.03399258,0.30967291,0.322652619,0.375418619,0.414253915,0.300764298,0.301078332,0.317022421,0.277708358,0.376230432,0.310917977,0.416862497,0.320139625,0.381958965,0.481864062,0.600786178,0.506200286,0.444774889,0.805815589,1.022134835,0.862198799,0.835781811,0.840785296,1.269843568,1.493599425,1.511779774,1.506769051,1.698976437,1.341560282,1.898485109,1.975752721,1.99258677,1.791147276,1.252904844,0.729596216,0.827561907,
United Arab Emirates,ARE,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,,,,,0.0749784,0.075334441,0.167673375,0.300969158,0.446829493,0.405403487,0.215562245,0.046085049,0.322586022,0.398576835,0.521945694,0.650130748,0.4712759,0.446600992,0.459949011,0.459392612,0.485616637,0.359130718,0.466365383,0.377963346,0.488417162,0.623876175,0.736275425,0.597766975,0.498079396,0.773829421,0.96115958,0.801006442,0.758992032,0.754971194,1.055009725,1.146696272,1.141789238,1.094442763,1.254478991,0.955450333,1.287909838,1.367684425,1.365041764,1.203507971,0.920687812,0.518650934,0.557236161,
Argentina,ARG,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,0.017270584,0.019659871,0.014119647,0.011416285,0.019004835,0.063342329,0.0582533,0.020906873,0.027043966,0.086912489,0.167191158,0.162198651,0.074320464,0.180238547,0.222758532,0.208261438,0.172115044,0.118661925,0.128969243,0.297226149,0.169854317,0.13380712,0.09718378,0.115324061,0.093875472,0.106650126,0.126406811,0.132002043,0.119011413,0.169424305,0.266307696,0.302131431,0.72180458,0.609594664,0.57181255,0.645822125,0.711924364,0.599108088,0.537652637,0.587094353,0.371492197,0.444482011,0.482256094,0.468116094,0.362465731,0.212099857,0.14963314,0.196460149,
Armenia,ARM,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
American Samoa,ASM,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Antigua and Barbuda,ATG,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Australia,AUS,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,0,0,0.002146423,0.000260341,0.020234251,0.077627759,0.08556258,0.094865467,0.101698745,0.217542718,0.252196903,0.084100395,0.009946251,0.061600935,0.075021514,0.108965789,0.186631421,0.129151231,0.083277874,0.083020855,0.157771421,0.107958205,0.083647938,0.111445856,0.143474967,0.151967704,0.178370883,0.159143114,0.115962386,0.156603731,0.271026254,0.280593934,0.256133887,0.273184034,0.263972487,0.266382822,0.295931336,0.292946068,0.303620111,0.362455657,0.31550758,0.360777584,0.327417225,0.336447252,0.428821966,0.599672185,0.548449,0.683470678,
Austria,AUT,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,0.009300795,0.011377057,0.012389405,0.013349422,0.051022904,0.082779422,0.070508146,0.068311714,0.068085287,0.111815301,0.118287216,0.059179642,0.01871989,0.051558586,0.057105169,0.049363329,0.028370047,0.013720141,0.013876283,0.015975871,0.019077008,0.015749431,0.010810604,0.012992656,0.009119564,0.008507512,0.010968368,0.011805456,0.005243366,0.004547531,0.027097345,0.048524264,0.038008423,0.037476291,0.027143309,0.023627024,0.047094292,0.044846661,0.051245382,0.048477289,0.040087633,0.054774715,0.065130439,0.047871351,0.030645963,0.023365385,0.013336499,0.020764189,
Azerbaijan,AZE,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.403636622,2.32353574,2.049234548,2.513197498,2.358493122,2.656050974,3.287358575,2.479804853,0.817645242,0.662666882,2.840130881,4.934653785,3.366546963,3.147198556,2.61150577,1.693853757,2.391014018,2.847836097,4.174236638,3.876913131,2.758877128,3.327801202,3.549738511,3.2485525,2.519054679,2.440424384,2.080492596,2.953057471,
Burundi,BDI,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Belgium,BEL,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,0.000130955,0.000156604,0.000170346,0.000172553,0.000769391,0.000934239,0.000575752,0.000586658,0.0005803,0.000990804,0.001451715,0.000939511,0.000349996,0.000665734,0.001426137,0.001436244,0.000581994,0.000286482,0.000160134,0.000134297,0.000144073,9.87E-05,3.63E-05,3.44E-05,6.37E-06,1.27E-06,1.32E-05,1.10E-06,0,9.84E-07,3.17E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Benin,BEN,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Burkina Faso,BFA,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bangladesh,BGD,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,0,0,0.000283899,0.003042178,0.00805614,0.009522936,0.03805718,0.054452597,0.022255879,0.038300246,0.082840885,0.019133453,0,0.031325466,0.02078018,0.009996831,0.040126544,0.034850063,0.038129035,0.034431868,0.085046149,0.076061611,0.066555383,0.075151305,0.086470188,0.110411554,0.164508226,0.144074308,0.130240656,0.196570109,0.338966439,0.374538884,0.487340012,0.480475685,0.515908287,0.757392138,1.107248523,0.772941016,0.648731065,0.869933016,0.69445056,1.207432401,1.208214846,0.895289886,0.884990724,0.719595862,0.396045269,0.418838145,
Bulgaria,BGR,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,,,,,,,,,,0.026235851,0.015695769,0.003934934,0.016270325,0.013191278,0.017413446,0.015845583,0.00579909,0.000594455,0.000657833,0.001480037,0.001565553,0.001033357,0.009458587,0.007613511,0.004722364,0.006191225,0.005598035,0.001304451,0.000756209,0.012034717,0.001421978,0.000525166,0.00250381,0.043691362,0.073326222,0.117310326,0.066719733,0.024679138,0.002092966,0.011195532,0.09605018,0.100528798,0.065707845,0.031139515,0.01488963,0.005789259,0.006154458,
Bahrain,BHR,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,,,,,,,,,,1.918837113,0.805069745,0.227841369,1.702110874,1.538363365,2.123784176,2.633002943,1.611911494,1.441973037,1.441410388,1.706613331,1.353274499,1.283828847,1.613522516,1.187006096,1.356415262,1.77355218,2.154328705,1.775275616,1.536367565,2.177224146,2.745790555,2.140534801,1.961032303,1.745193428,2.611121053,3.112556924,3.096167354,3.289647916,3.539512192,2.678572356,3.888482442,4.111966741,4.289628414,4.03664841,2.663249201,1.415335802,1.502209502,
"Bahamas, The",BHS,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bosnia and Herzegovina,BIH,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.666952383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Belarus,BLR,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029287506,0.028955522,0.02151689,0.025991311,0.023938833,0.023339755,0.026018752,0.027082569,0.010651616,0.010582694,0.052833343,0.101184857,0.063810962,0.059121457,0.038890131,0.028734498,0.042309783,0.03321336,0.037262883,0.039187802,0.026133313,0.041116959,0.038960941,0.036628294,0.022401247,0.022579846,0.015976227,0.026325427,
