Country_Name,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,AVG
Algeria,34300076,34860715,35465760,36117637,36819558,37565847,38338562,39113313,39871528,40606052,41318142,37.67065364
Angola,20997687,21759420,22549547,23369131,24218565,25096150,25998340,26920466,27859305,28813463,29784193,25.21511518
Benin,8454791,8696916,8944706,9199259,9460802,9729160,10004451,10286712,10575952,10872298,11175692,9.763703545
Botswana,1914414,1946351,1979882,2014866,2051339,2089315,2128507,2168573,2209197,2250260,2291661,2.094942273
Burkina Faso,14252021,14689726,15141099,15605217,16081904,16571216,17072723,17585977,18110624,18646433,19193382,16.63184745
Burundi,7939573,8212264,8489031,8766930,9043508,9319710,9600186,9891790,10199270,10524117,10864245,9.350056727
Cameroon,18395389,18907008,19432541,19970495,20520447,21082383,21655715,22239904,22834522,23439189,24053727,21.13921091
Central African Republic,4275800,4345386,4404230,4448525,4476153,4490416,4499653,4515392,4546100,4594621,4659080,4.477759636
Chad,10775708,11133861,11502786,11887202,12288651,12705135,13133589,13569438,14009413,14452543,14899994,12.75984727
Comoros,641620,657229,673252,689692,706569,723868,741500,759385,777424,795601,813912,0.725459273
"Congo, Dem. Rep.",58417562,60373608,62409435,64523263,66713597,68978682,71316033,73722860,76196619,78736153,81339988,69.33889091
"Congo, Rep.",3976246,4115435,4253712,4386693,4512730,4633363,4751393,4871101,4995648,5125821,5260750,4.625717455
Djibouti,809402,822934,836840,851146,865937,881185,896688,912164,927414,942333,956985,0.882093455
"Egypt, Arab Rep.",79537253,80953881,82465022,84107606,85897561,87813257,89807433,91812566,93778172,95688681,97553151,88.12859845
Equatorial Guinea,829327,868418,909111,951104,994290,1038593,1083746,1129424,1175389,1221490,1267689,1.042598273
Ethiopia,81000409,83184892,85416253,87702670,90046756,92444183,94887724,97366774,99873033,102403196,104957438,92.66212073
Gabon,1489193,1536411,1586754,1640210,1697101,1756817,1817271,1875713,1930175,1979786,2025137,1.757688
"Gambia, The",1539116,1588572,1639560,1692149,1746363,1802125,1859324,1917852,1977590,2038501,2100568,1.809247273
Ghana,22700212,23298640,23903831,24512104,25121796,25733049,26346251,26962563,27582821,28206728,28833629,25.74560218
Guinea,10096727,10323142,10556524,10794170,11035170,11281469,11536615,11805509,12091533,12395924,12717176,11.33035991
Guinea-Bissau,1445958,1480841,1517448,1555880,1596154,1638139,1681495,1725744,1770526,1815698,1861283,1.644469636
Ivory Coast,19085941,19497986,19936366,20401331,20895311,21418603,21966312,22531350,23108472,23695919,24294750,21.53021282
Kenya,38085909,39148416,40237204,41350152,42486839,43646629,44826849,46024250,47236259,48461567,49699862,43.74581236
Lesotho,1982287,1999930,2019209,2040551,2064166,2089928,2117361,2145785,2174645,2203821,2233339,2.097365636
Liberia,3512932,3662993,3811528,3948125,4070167,4181563,4286291,4390737,4499621,4613823,4731906,4.155426
Libya,5970362,6053078,6121053,6169140,6193501,6198258,6195970,6204108,6234955,6293253,6374616,6.182572182
Madagascar,19433523,19996469,20569121,21151640,21743949,22346573,22961146,23589801,24234088,24894551,25570895,22.40834145
Malawi,13840969,14271234,14714602,15167095,15627618,16097305,16577147,17068838,17573607,18091575,18622104,16.15019036
Mali,13675606,14138216,14606597,15075085,15540989,16006670,16477818,16962846,17467905,17994837,18541980,16.04441355
Mauritania,3312665,3407541,3506288,3609543,3717672,3830239,3946170,4063920,4182341,4301018,4420184,3.845234636
