Country_Name,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,AVG
Algeria,0,0,0,0,0.5,0,0,0,0,0,0,0.045454545
Angola,0,30.1,0,0,0,0,0,0,0,0,0,2.736363636
Benin,0,0,0,0,53.1,0,0,0,49.5,0,0,9.327272727
Botswana,0,0,18.2,0,0,0,0,0,16.1,0,0,3.118181818
Burkina Faso,0,0,55.3,0,0,0,0,43.7,0,0,0,9
Burundi,0,0,0,0,0,0,71.8,0,0,0,0,6.527272727
Cameroon,29.3,0,0,0,0,0,0,23.8,0,0,0,4.827272727
Cape Verde,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,0,66.3,0,0,0,0,0,0,0,0,0,6.027272727
Chad,0,0,0,0,38.4,0,0,0,0,0,0,3.490909091
Comoros,0,0,0,0,0,0,17.9,0,0,0,0,1.627272727
"Congo, Dem. Rep.",0,0,0,0,0,76.6,0,0,0,0,0,6.963636364
"Congo, Rep.",0,0,0,0,37,0,0,0,0,0,0,3.363636364
Djibouti,0,0,0,0,0,18.3,22.7,0,0,0,17.1,5.281818182
"Egypt, Arab Rep.",0,3.9,0,3,0,2.3,0,0,1.3,0,0,0.954545455
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,0,0,0,33.5,0,0,0,0,27.3,0,0,5.527272727
Gabon,0,0,0,0,0,0,0,0,0,0,3.4,0.309090909
"Gambia, The",0,0,0,25.1,0,0,0,0,10.1,0,0,3.2
Ghana,0,0,0,0,0,12,0,0,0,13.3,0,2.3
Guinea,59.7,0,0,0,0,35.3,0,0,0,0,0,8.636363636
Guinea-Bissau,0,0,0,67.1,0,0,0,0,0,0,0,6.1
Ivory Coast,0,29.1,0,0,0,0,0,0,28.2,0,0,5.209090909
Kenya,0,0,0,0,0,0,0,0,36.8,0,0,3.345454545
Lesotho,0,0,0,59.7,0,0,0,0,0,0,0,5.427272727
Liberia,68.6,0,0,0,0,0,0,38.6,0,40.9,0,13.46363636
Libya,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar,0,0,0,78.5,0,77.6,0,0,0,0,0,14.19090909
Malawi,0,0,0,71.7,0,0,0,0,0,70.3,0,12.90909091
Mali,0,0,49.7,0,0,0,0,0,0,0,0,4.518181818
Mauritania,0,10.8,0,0,0,0,0,6,0,0,0,1.527272727
Mauritius,0,0,0,0,0,0.5,0,0,0,0,0,0.045454545
Morocco,0,0,0,0,0,0,1,0,0,0,0,0.090909091
Mozambique,0,69.1,0,0,0,0,0,62.4,0,0,0,11.95454545
Namibia,0,0,22.6,0,0,0,0,0,13.4,0,0,3.272727273
Niger,72,0,0,0,50.3,0,0,44.5,0,0,0,15.16363636
Nigeria,0,0,53.5,0,0,0,0,0,0,0,0,4.863636364
Rwanda,0,0,0,62.3,0,0,56.8,0,0,55.5,0,15.87272727
Sao Tome and Principe,0,0,0,32.3,0,0,0,0,0,0,0,2.936363636
Senegal,0,0,0,0,38,0,0,0,0,0,0,3.454545455
Seychelles,0,0,0,0,0,0,1.1,0,0,0,0,0.1
Sierra Leone,0,0,0,0,52.2,0,0,0,0,0,0,4.745454545
Somalia,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,0,16.9,0,16.5,0,0,0,18.9,0,0,0,4.754545455
South Sudan,0,0,42.7,0,0,0,0,0,0,0,0,3.881818182
Sudan,0,0,14.9,0,0,0,0,0,0,0,0,1.354545455
Swaziland,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania,59.9,0,0,0,49.1,0,0,0,0,0,0,9.909090909
Togo,0,0,0,0,54.2,0,0,0,49.2,0,0,9.4
Tunisia,0,0,0,2,0,0,0,0,0.3,0,0,0.209090909
Uganda,0,0,44.6,0,0,35.9,0,0,0,41.7,0,11.10909091
Zambia,0,0,0,64.4,0,0,0,0,57.5,0,0,11.08181818
Zimbabwe,0,0,0,0,21.4,0,0,0,0,0,0,1.945454545
